start axis,final axis,start ecc,final ecc
2.5460940042769473,2.5536676500527826,0.08195108799393386,0.08576777444151505
2.4761899698555054,2.4710035607579437,0.1621097026377401,0.1638990922871534
2.5557537004313557,2.5522199454645165,0.07237384244717741,0.07194350331724514
2.4981375369370755,2.4726179645656043,0.13930558720759917,0.13948656183305413
2.502361715552946,2.484906324847594,0.011857409598348113,0.008796706913204895
2.4631754420177048,2.4575362521526944,0.06079398924339015,0.060764538751459866
2.5673553867998855,2.5810475731028304,0.017816039832954433,0.01948680142069622
2.422228280715999,2.444151095422875,0.08610295141158444,0.09000656213016096
2.453366085835215,2.4791033249344174,0.016269640005779528,0.02087691155629412
2.4182563696760573,2.4108109219083818,0.01060143559811022,0.009992725110003032
